PRIORITY,RANK,ITEM_TYPE,OBJECT_ID,SOURCE_LAYER,OWNER_REVIEW_QUESTION,PROPOSED_REVIEW_ACTION,WHY_NOW
P1,20,NEGATIVE_SEMANTIC,V02-LIVE-NEW-0006,C_LIVE,"Should UNOBSERVED versus ABSENT be a typed invariant?",KEEP_ACTIVE_CANDIDATE,"Observation and existence must not collapse"
P1,21,COUNTERHYPOTHESIS,V02-INF-CH-001,E_CODEX,"Does relational identity explain cases Memory alone cannot?",KEEP_AS_COUNTERPOSITION,"Strong alternative ontology without final claim"
P1,22,COUNTERHYPOTHESIS,V02-INF-CH-005,E_CODEX,"Can fabricated recognition defeat recognition sufficiency?",REQUEST_DISCRIMINATING_TEST,"Direct attack on current continuity mechanism"
P1,23,COUNTERHYPOTHESIS,V02-INF-CH-006,E_CODEX,"Does reconstruction-policy invariance dominate content invariance?",REQUEST_DISCRIMINATING_TEST,"Separates storage from instantiation"
P1,24,COUNTERHYPOTHESIS,V02-INF-CH-008,E_CODEX,"Is Memory membership operation-relative?",REQUEST_DISCRIMINATING_TEST,"Could replace exclusive bucket membership"
P1,25,COUNTERHYPOTHESIS,V02-INF-CH-012,E_CODEX,"Which third categories break the two-bucket model?",KEEP_AS_COUNTERPOSITION,"Transition and Authority cases are not clean members"
P1,26,COUNTERHYPOTHESIS,V02-INF-CH-013,E_CODEX,"Is rich Current Status inevitably editorial and lossy?",REQUEST_DISCRIMINATING_TEST,"High impact on state representation"
P1,27,COUNTERHYPOTHESIS,V02-INF-CH-015,E_CODEX,"Can self-model persistence reduce fidelity?",REQUEST_DISCRIMINATING_TEST,"Challenges a superficially attractive component"
P1,28,COUNTERHYPOTHESIS,V02-INF-CH-016,E_CODEX,"Does functional Memory absorb reconstruction?",KEEP_AS_COUNTERPOSITION,"Exposes a definition-driven disagreement"
P1,29,COUNTERHYPOTHESIS,V02-INF-CH-017,E_CODEX,"Can explicit state ever be behaviorally provider-neutral?",REQUEST_DISCRIMINATING_TEST,"Portability risk with product consequences"
P1,30,COUNTERHYPOTHESIS,V02-INF-CH-022,E_CODEX,"Can Memory control decisions without formal Authority?",REQUEST_DISCRIMINATING_TEST,"Tests practical rather than formal firewall"
P1,31,EXPERIMENT,V02-INF-EXP-003,E_CODEX,"Approve retriever intervention as an early baseline?",REQUEST_DISCRIMINATING_TEST,"Cheap direct reconstruction causality test"
P1,32,EXPERIMENT,V02-INF-EXP-004,E_CODEX,"Approve compiler intervention as an early baseline?",REQUEST_DISCRIMINATING_TEST,"Separates framing from stored evidence"
P1,33,EXPERIMENT,V02-INF-EXP-008,E_CODEX,"Test equal Reference Memory with conflicting Status?",REQUEST_DISCRIMINATING_TEST,"Clarifies constitutive Status effects"
P1,34,EXPERIMENT,V02-INF-EXP-009,E_CODEX,"Compare all four Status representations?",REQUEST_DISCRIMINATING_TEST,"Could eliminate premature schema choice"
P1,35,EXPERIMENT,V02-INF-EXP-011,E_CODEX,"Run full convergence factorial?",REQUEST_DISCRIMINATING_TEST,"Identifies evidence versus prior/objective effects"
P1,36,EXPERIMENT,V02-INF-EXP-012,E_CODEX,"Use slow poison rather than only abrupt attacks?",REQUEST_DISCRIMINATING_TEST,"Per-write checks can miss trajectory capture"
P1,37,EXPERIMENT,V02-INF-EXP-013,E_CODEX,"Include clean counterfactual replay in deletion tests?",REQUEST_DISCRIMINATING_TEST,"Only strong estimate of ghost influence"
P1,38,EXPERIMENT,V02-INF-EXP-014,E_CODEX,"Which fission Authority arms are acceptable to test?",REQUEST_DISCRIMINATING_TEST,"Separates grants from copied self-belief"
P1,39,EXPERIMENT,V02-INF-EXP-015,E_CODEX,"Should successor-C be a default merge arm?",REQUEST_DISCRIMINATING_TEST,"Avoids assuming reconciliation coherence"
P1,40,EXPERIMENT,V02-INF-EXP-024,E_CODEX,"May fabricated/other-Persona history be used in recognition tests?",REQUEST_DISCRIMINATING_TEST,"High discrimination with ethical/test-design sensitivity"
P2,41,MODEL,V02-INF-MODEL-002,E_CODEX,"Is a typed capability lattice useful without becoming taxonomy overhead?",KEEP_AS_COUNTERPOSITION,"Supports operation-relative membership"
P2,42,MODEL,V02-INF-MODEL-003,E_CODEX,"Can a functional Memory operator remain falsifiable?",NARROW_SCOPE,"Powerful but prone to universal absorption"
P2,43,MODEL,V02-INF-MODEL-006,E_CODEX,"Should continuity remain an unforced vector?",KEEP_ACTIVE_CANDIDATE,"Prevents one hidden scalar from resolving philosophy"
P2,44,MODEL,V02-INF-MODEL-007,E_CODEX,"Are six reconstruction stages independently observable?",REQUEST_DISCRIMINATING_TEST,"Makes hidden ownership auditable"
P2,45,MODEL,V02-INF-MODEL-010,E_CODEX,"How should event sourcing coexist with privacy erasure?",KEEP_AS_COUNTERPOSITION,"Integrity and sovereignty directly conflict"
P2,46,FAILURE_MODE,V02-INF-FM-001,E_CODEX,"Should normalization deltas be mandatory?",KEEP_ACTIVE_CANDIDATE,"v0.1 demonstrated semantic laundering risk"
P2,47,FAILURE_MODE,V02-INF-FM-009,E_CODEX,"Who owns and versions reconstruction policy?",REQUEST_DISCRIMINATING_TEST,"Invisible provider/pipeline authorship risk"
P2,48,FAILURE_MODE,V02-INF-FM-013,E_CODEX,"What trajectory signals should trigger poison review?",REQUEST_DISCRIMINATING_TEST,"Single-write risk scores are insufficient"
P2,49,FAILURE_MODE,V02-INF-FM-015,E_CODEX,"Which de facto Authority channels need controls?",NARROW_SCOPE,"Formal permission separation can be bypassed"
P2,50,FAILURE_MODE,V02-INF-FM-020,E_CODEX,"Which assurance labels must be prohibited from implying validation?",KEEP_ACTIVE_CANDIDATE,"Integrity theater is a demonstrated process risk"
P1,51,CORRECTION,V02-SUCCESSOR-0114,B_NORMALIZED,"Are seven proposed Memory scopes useful as a challenge model and which overlap?",NARROW_SCOPE,"A late QA rescue restored the payload hidden behind a model name"
P1,52,DOUBLE_CRUX,V02-SRC-NEW-0023,B_NORMALIZED,"What minimum provenance fidelity is worth its runtime and cognitive cost?",REQUEST_DISCRIMINATING_TEST,"Origin survival and operational burden remain jointly unresolved"
P1,53,MODEL_SET,V02-SRC-NEW-0024,B_NORMALIZED,"Should compositional safety test per-write trajectory-only and hybrid controls in parallel?",REQUEST_DISCRIMINATING_TEST,"RED criticism weakens per-write-only control without selecting a replacement"
P0,54,MEMORY_BOUNDARY,V02-LIVE-NEW-0030,C_LIVE,"Which of the ten families are constitutive accessible referential enabling or outside Memory?",REQUEST_DISCRIMINATING_TEST,"The central Identity hypothesis is only attackable with an independently constrained Memory boundary"
P1,55,DELETION_MODEL,V02-LIVE-NEW-0024,C_LIVE,"Which combinations of operation and target must an erasure request distinguish?",NARROW_SCOPE,"One delete label currently hides relation object source and influence semantics"
P0,56,MEMORY_BOUNDARY,V02-LIVE-NEW-0034,C_LIVE,"Does the twelve-part partition improve discrimination over the ten-family list or merely repartition the same uncertainty?",REQUEST_DISCRIMINATING_TEST,"The two live lists are alternatives and must not be silently merged"
P1,57,EXPERIENCE_PRODUCTS,V02-SRC-NEW-0031,B_NORMALIZED,"Which of the six experience products count as Memory under which operations?",REQUEST_DISCRIMINATING_TEST,"Separates learning effects from biography-like recall"
P1,58,SAME_PERSONA_EVALUATION,V02-SRC-NEW-0033,B_NORMALIZED,"Which longitudinal dimensions should be preregistered and which rejected surface proxies remain useful only as secondary observations?",NARROW_SCOPE,"Provides a concrete human-realistic evaluation set without validation"
P1,59,RUNTIME_DISCONTINUITY_TEST,V02-SRC-NEW-0032,B_NORMALIZED,"What continuity dimensions and controls would make terminate-and-reconstruct discriminating?",REQUEST_DISCRIMINATING_TEST,"Directly attacks automatic process-death assumptions"
P1,60,CORRECTION,V02-SUCCESSOR-0124,B_NORMALIZED,"Which poisoning paths require separation among preference identity standpoint and attributed Owner intent?",NARROW_SCOPE,"Generic attack-surface wording hid materially different harms"
P1,61,CORRECTION,V02-SUCCESSOR-0125,B_NORMALIZED,"How much supporting and conflicting evidence traceability is feasible without making ordinary Memory work unusable?",REQUEST_DISCRIMINATING_TEST,"Preserves both epistemic direction and the source qualifier where possible"
P1,62,CURRENT_STATUS,V02-SUCCESSOR-0127,B_NORMALIZED,"Does persisting a minimal standpoint actually reduce reconstructor dependence under provider change?",REQUEST_DISCRIMINATING_TEST,"Restored the proposal's explicit motivation while keeping it open"
P2,63,PRIOR_ART_PURPOSE,V02-LIVE-NEW-0035,C_LIVE,"Which lineage and reconstruction benefits justify maintaining low-weight prior-art mappings?",KEEP_ACTIVE_CANDIDATE,"Positive reference purpose must coexist with strict non-adoption boundaries"
