PRIORITY,REVIEW_SET,OBJECT_ID,ORIGIN_OBJECT_ID,SHORT_STATEMENT,CORPUS_GROUP,CLASS_CURRENT,SOURCE,SOURCE_LEVEL,CURRENT_STATUS,CANDIDATE_RELATIONS,TAGGING_QUESTIONS
2,Identity–Memory,CX-LIVE-BRAINSTORM-0066,ASA-MI-OQ-SAMEPERSONA-001,What measurable criteria determine 'same Persona' after reinstantiation/model substitution?,D_LIVE_BRAINSTORM_AS_IS,OPEN_QUESTION,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-SAMEPERSONA-001,LIVE_REPOSITORY_RESEARCH_RECORD,OPEN,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0068,ASA-MI-OQ-MERGE-001,"What does merging divergent Persona Memory/identity states mean, if it is coherent at all?",D_LIVE_BRAINSTORM_AS_IS,OPEN_QUESTION,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-MERGE-001,LIVE_REPOSITORY_RESEARCH_RECORD,OPEN,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0071,ASA-MI-OQ-POISON-001,"How do slow, compositional Memory changes alter Persona identity without obvious single-step corruption?",D_LIVE_BRAINSTORM_AS_IS,OPEN_QUESTION,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-POISON-001,LIVE_REPOSITORY_RESEARCH_RECORD,OPEN,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-CHECKPOINT-0002,CHECKPOINT-IDENTITY,Identity–Memory remains active and unconfirmed; process continuity is not required.,D_LIVE_BRAINSTORM_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/checkpoints/2026-08-20/AAA_ASA_MI_CURRENT_RESEARCH_STATE_CHECKPOINT_2026-08-20T0509KST_v0.1.md#CHECKPOINT-IDENTITY,LIVE_REPOSITORY_RESEARCH_RECORD,ACTIVE_OR_OPEN,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-PLANNING-0006,ASA-MI-PC-006,IDENTITY ?= MEMORY,D_LIVE_BRAINSTORM_AS_IS,PRINCIPLE,control/research/asa-mi/planning-guidance/v0.1/AAA_ASA_MI_PLANNING_PRINCIPLES_AND_RECOMMENDATIONS_v0.1.md#ASA-MI-PC-006,LIVE_REPOSITORY_RESEARCH_RECORD,CURRENT_BEST_HYPOTHESIS,<-HISTORICAL_PREDECESSOR_OF:CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-WORLDVIEW-0007,WORLDVIEW-H-03,"`Identity = Memory` is a strong research hypothesis, not an established fact",D_LIVE_BRAINSTORM_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/foundational-worldview/v0.1/AAA_ASA_MI_FOUNDATIONAL_WORLDVIEW_v0.1.md#H-03,LIVE_REPOSITORY_RESEARCH_RECORD,ACTIVE_UNCONFIRMED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-SRC-SOURCE-NORMALIZED-SET-0001,SN-OQ-ID-001,"Is Memory necessary, sufficient, primary, supportive, or only one continuity dimension for long-lived Persona identity?",C_EXISTING_SOURCE_NORMALIZED_AS_IS,OPEN_QUESTION,control/research/asa-mi/source-normalized-drafts/v0.1/08_OPEN_QUESTION_AND_EXPERIMENT_CATALOG.md#SN-OQ-ID-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SOURCE-NORMALIZED-SET-0006,SN-OQ-MEM-002,How can Memory be defined broadly enough to include identity-bearing products of experience without making Identity=Memory tautological?,C_EXISTING_SOURCE_NORMALIZED_AS_IS,OPEN_QUESTION,control/research/asa-mi/source-normalized-drafts/v0.1/08_OPEN_QUESTION_AND_EXPERIMENT_CATALOG.md#SN-OQ-MEM-002,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SOURCE-NORMALIZED-SET-0037,SN-OQ-MER-001,"Is Merge identity reunification, conflict-preserving reconciliation, or creation of a new successor C?",C_EXISTING_SOURCE_NORMALIZED_AS_IS,OPEN_QUESTION,control/research/asa-mi/source-normalized-drafts/v0.1/08_OPEN_QUESTION_AND_EXPERIMENT_CATALOG.md#SN-OQ-MER-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0001,SN-MI-H-001,Identity ?= Memory,C_EXISTING_SOURCE_NORMALIZED_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-H-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,<-CONTRADICTS:CX-SRC-SRC-R1-0001; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0005; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0006; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0007; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0008; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0009; <-ALTERNATIVE_TO:CX-SRC-SRC-R1-0010; <-ALTERNATIVE_TO:CX-SRC-SRC-R2-0001; <-CONSTRAINS:CX-SRC-SRC-WP1-0006; HISTORICAL_PREDECESSOR_OF->CX-LIVE-PLANNING-0006,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0002,SN-MI-H-002,"Stable ID, runtime, and prompt may locate/execute/initialize a Persona without constituting substantive Persona identity.",C_EXISTING_SOURCE_NORMALIZED_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-H-002,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0003,SN-MI-H-003,Substantive Persona identity may emerge from durable memory + organization + lineage + consolidated experience + current standpoint/learned dispositions.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,MODEL,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-H-003,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,MAPS_TO->CX-LIVE-BRAINSTORM-0012,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0004,SN-MI-M-001,EXPERIENCE/OWNER_CONVERSATION/EXECUTION/OUTCOME → MEMORY_CANDIDATE → IMPORTANCE/RELEVANCE/DURABILITY_JUDGMENT → WORKING_MEMORY → DURABLE_MEMORY → CONSOLIDATED_MEMORY → IDENTITY/EXPERTISE_CORE when appropriate,C_EXISTING_SOURCE_NORMALIZED_AS_IS,MODEL,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-M-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0014,SN-MI-HIST-PC-007,IDENTITY RECOVERY != AUTHORITY RECOVERY,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/11_ADDITIONAL_SOURCE_OBJECTS_AND_PARKING_LOT.md#SN-MI-HIST-PC-007,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0024,SN-MI-PC-019,AUTONOMOUS_MEMORY_MANAGEMENT != UNREVIEWABLE_IDENTITY_MUTATION,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/11_ADDITIONAL_SOURCE_OBJECTS_AND_PARKING_LOT.md#SN-MI-PC-019,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI0-0031,SN-MI-PC-028,LOCAL_BLOCKER != PROJECT_GLOBAL_HOLD,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/11_ADDITIONAL_SOURCE_OBJECTS_AND_PARKING_LOT.md#SN-MI-PC-028,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI1-0005,SN-MI-OQ-002,"Which components are memory, derived state, index/metadata, identity-bearing state, or reconstructable views?",C_EXISTING_SOURCE_NORMALIZED_AS_IS,OPEN_QUESTION,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-OQ-002,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,REFINED_BY->CX-LIVE-BRAINSTORM-0020,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI1-0006,SN-MI-RISK-002,"If every persistent Persona-bearing component is renamed Memory, Identity = Memory becomes tautological and unfalsifiable.",C_EXISTING_SOURCE_NORMALIZED_AS_IS,RISK,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-RISK-002,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI1-0014,SN-MI-PC-005,Tag/vector/graph/embedding should not be equated with Persona identity or canonical memory merely because they support retrieval.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-PC-005,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,REQUIRES_CS_PRIOR->CX-LIVE-BRAINSTORM-0005,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-MI1-0023,SN-MI-OQ-005,Which forms of forgetting preserve useful identity/history and which create harmful permanent dossiers or destructive information loss?,C_EXISTING_SOURCE_NORMALIZED_AS_IS,OPEN_QUESTION,control/research/asa-mi/source-normalized-drafts/v0.1/03_ASA_MI_PLANNER_SOURCE_OBJECTS.md#SN-MI-OQ-005,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0001,SN-R1-CH-001,Literal Identity = Memory is too strong.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-CH-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,CONTRADICTS->CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0004,SN-R1-CH-003,There may be no single technically useful Identity boolean; multiple continuity dimensions may be more operationally useful.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-CH-003,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0005,SN-R1-ALT-001,Memory is necessary but not sufficient for Persona identity.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-ALT-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,ALTERNATIVE_TO->CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0006,SN-R1-ALT-002,Identity may emerge from memory + relations + lineage + current commitments + behavioral dispositions + self-model + governance state.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-ALT-002,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,ALTERNATIVE_TO->CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0007,SN-R1-ALT-003,Memory may support continuity without constituting identity.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-ALT-003,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,ALTERNATIVE_TO->CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0008,SN-R1-ALT-004,A Persona may preserve identity-like continuity despite large memory loss.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-ALT-004,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,ALTERNATIVE_TO->CX-SRC-SRC-MI0-0001,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0024,SN-R1-RISK-004,Persistent memory poisoning becomes identity/continuity attack as memory is given more constitutive weight.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,RISK,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-RISK-004,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0036,SN-R1-CH-006,Memory sovereignty may be necessary for Persona sovereignty but is not sufficient if reconstruction/model/runtime remain identity-bearing and provider-controlled.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-CH-006,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-SRC-SRC-R1-0043,SN-R1-H-009,Operational same-Persona judgments may be better made over multiple continuity properties than by a single metaphysical identity boolean.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,COUNTER_HYPOTHESIS,control/research/asa-mi/source-normalized-drafts/v0.1/04_RED_I_SOURCE_OBJECTS.md#SN-R1-H-009,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
