inventory_id,legacy_filename,legacy_doc_id,legacy_version,base_date,current_status,current_format,source_role,source_layer,content_type,approximate_record_count,logical_entities,contains_rules,contains_identity,contains_state,contains_evidence,contains_model_interpretation,contains_score,contains_validation,contains_raw_data,contains_generated_view,update_frequency,existing_write_policy,migration_required,archive_required,current_authority,known_conflict_or_override,notes,migration_risk
INV-010,SEMI-PRICE-LEDGER_IMPORT-MANIFEST_v1.0.csv,NOT_DECLARED,v1.0,2026-08-14,Legacy manifest,CSV,Provider/range/Entry/Exit/MFE/MAE rules,MANIFEST,Import manifest,9 key/value rows,price dataset import policy,Y,N,N,N,N,N,DEF,N,N,Versioned manifest,manifest file,Y,Y,Legacy import policy,Needs dataset IDs/hashes later,Future target PRICE-DATASET-MANIFEST.,MEDIUM
INV-011,SEMI-PRICE-LEDGER_v1.0_INGEST-AUDIT_BLOCKED_2026-08-14.csv,NOT_DECLARED,v1.0,2026-08-14,BLOCKED historical audit,CSV,Failed ingest audit,AUDIT,Historical ingest audit,46 audit rows,company ingest attempts,N,Y,Y,N,N,N,Y,N,N,Append-only audit history,historical append record,Y,Y,Historical audit,Reason is stale historical condition but must remain unchanged,Historical Audit / Canonical Audit History candidate; not ARCHIVE_ONLY.,MEDIUM
INV-012,marcap-2024.parquet,N/A,provider dataset,2024,PRESENT,Parquet,Raw yearly KRX-derived price,RAW,Price raw dataset,"687,708 rows / 18 cols",daily securities,N,Y,Y,N,N,N,N,Y,N,Yearly/provider raw capture,immutable yearly file,Y,Y,RAW_IMMUTABLE / preserved provider raw input,PRICE-CANONICAL must be created only after normalization/audit,"RAW_IMMUTABLE, not CANONICAL RAW.",HIGH
INV-013,marcap-2025.parquet,N/A,provider dataset,2025,PRESENT,Parquet,Raw yearly KRX-derived price,RAW,Price raw dataset,"696,524 rows / 18 cols",daily securities,N,Y,Y,N,N,N,N,Y,N,Yearly/provider raw capture,immutable yearly file,Y,Y,RAW_IMMUTABLE / preserved provider raw input,PRICE-CANONICAL must be created only after normalization/audit,"RAW_IMMUTABLE, not CANONICAL RAW.",HIGH
INV-014,marcap-2026.parquet,N/A,provider dataset,2026 YTD,PRESENT,Parquet,Raw yearly KRX-derived price,RAW,Price raw dataset,"434,915 rows / 18 cols",daily securities,N,Y,Y,N,N,N,N,Y,N,Yearly/provider raw capture,immutable yearly file,Y,Y,RAW_IMMUTABLE / preserved provider raw input,Minor physical metadata drift; PRICE-CANONICAL must be separate after normalization/audit,"RAW_IMMUTABLE, not CANONICAL RAW.",HIGH
INV-015,Samsung_Semiconductor_Future_Technology_Platform_Map_v1.1_2026-08-09.docx,NOT_DECLARED,v1.1,2026-08-09,Project baseline,DOCX,Samsung technology/manufacturing baseline,BASELINE,Narrative/structured technology baseline,1 narrative baseline; ~17 pages,technologies / maturity / sources,Y/interpretive,N,Y,Y,Y,N,N,N,N,Document version,document version,Y,Y,Technology baseline,No forced over-structuring,Narrative preservation has priority; selected stable tables may be structured later.,LOW
INV-016,Future_Semiconductor_System_Architecture_Memory_Manufacturing_Map_v1.0_2026-08-10.docx,NOT_DECLARED,v1.0,2026-08-10,Source Registration,DOCX,Future system/memory/manufacturing baseline,BASELINE,Narrative/structured technology baseline,1 narrative baseline; ~17 pages,technologies / processes / architecture,Y/interpretive,N,Y,Y,Y,N,N,N,N,Document version,document version,Y,Y,Technology baseline,No forced over-structuring,Narrative preservation has priority; selected glossary/matrix extraction later.,LOW
INV-017,Korea_Semiconductor_Equipment_CAPEX_Early_Revenue_Response_Map_v1.0_2026-08-11.docx,NOT_DECLARED,v1.0,2026-08-11,Source Registration,DOCX,CAPEX→초기매출 반응 baseline,BASELINE,CAPEX timing baseline,1 report,companies / CAPEX timing,Y,REF,Y,Y,Y,N,N,N,N,Baseline version,baseline version,Y,Y,CAPEX baseline; rules adopted by EVAL-CORE where applicable,Do not create a second competing rule,Narrative baseline; stable timing table extraction later if useful.,MEDIUM
INV-018,SK_Hynix_CAPEX_Korea_Equipment_Ecosystem_Report_v0_2026-08-14.docx,NOT_DECLARED,v0,2026-08-14,Working Draft,DOCX,SKH CAPEX ecosystem scenario report,BASELINE,Working scenario baseline,1 working report,CAPEX scenarios / equipment ecosystem,Y/assumptive,REF,Y,Y,Y,N,N,N,N,Working draft,v0 working draft,Y,Y,Scenario/reference only,MODEL assumptions must remain tagged,Aggressive scenario tables are not forced into structured master.,MEDIUM
INV-019,Korea_Semiconductor_SupplyChain_TOP38_Master_Scorecard_v2.2_Detail_2026-08-14.docx,NOT_DECLARED,v2.2 Detail,2026-08-14,Source Registration / legacy model baseline,DOCX,Legacy 12M model + 38 company score records,MIXED,Legacy model definition / scorecard / company assessment,38 company score records + methodology,model definition / scores / company assessments,Y,Y,Y,Y,Y,Y,N,N,N,Historical immutable baseline,immutable historical scorecard,Y,Y,Legacy 12M baseline,Historical score promotion requires new PIT-SNAPSHOT binding,MODEL-DEFINITION may migrate; canonical MODEL-SCORE promotion is DEFERRED until valid PIT binding exists.,CRITICAL
