migration_id,inventory_id,source_doc_id,source_version,target_object,target_role,target_format_candidate,canonical_or_generated,target_storage_plane,target_logical_key,target_write_policy,target_version_policy,source_of_truth_after_cutover,migration_mode,split_required,merge_required,dependencies,lineage_requirement,migration_audit_requirement,regression_requirement,cutover_blocker,migration_priority,comments
MIG-010,INV-010,NOT_DECLARED,v1.0,PRICE-DATASET-MANIFEST,Dataset/provider manifest,YAML,CANONICAL,CONTROL,price_dataset_id,immutable dataset manifest,dataset version/hash,PRICE-DATASET-MANIFEST,FORMAT_CONVERSION,N,N,price schema,original manifest + eventual hashes,A1/A2,R3,dataset IDs/hashes not yet assigned,P0,Entry/Exit/MFE/MAE semantics preserved.
MIG-011,INV-011,NOT_DECLARED,v1.0,PRICE-AUDIT,Historical audit history,CSV/JSONL,CANONICAL,CONTROL,audit_record_id,append-only audit,audit append history,PRICE-AUDIT,STRUCTURAL_NORMALIZATION,N,N,audit schema,all 46 rows preserved,A1/A2,R1,"stale reason retained, not rewritten",P1,Historical Audit / Canonical Audit History candidate; not ARCHIVE_ONLY.
MIG-012,INV-012,N/A,provider dataset,PRICE-RAW,Immutable raw price 2024,Parquet,RAW_IMMUTABLE / NON-CANONICAL,DATA,dataset/year + provider row identity,raw immutable,provider/year/hash,RAW provenance truth only; PRICE-CANONICAL later,COPY_AS_IS,N,Y,price schema/manifest,byte hash + provider/year,A1/A2/A3,R3,hash/schema audit before canonicalization,P1,RAW_IMMUTABLE ≠ PRICE-CANONICAL.
MIG-013,INV-013,N/A,provider dataset,PRICE-RAW,Immutable raw price 2025,Parquet,RAW_IMMUTABLE / NON-CANONICAL,DATA,dataset/year + provider row identity,raw immutable,provider/year/hash,RAW provenance truth only; PRICE-CANONICAL later,COPY_AS_IS,N,Y,price schema/manifest,byte hash + provider/year,A1/A2/A3,R3,hash/schema audit before canonicalization,P1,RAW_IMMUTABLE ≠ PRICE-CANONICAL.
MIG-014,INV-014,N/A,provider dataset,PRICE-RAW,Immutable raw price 2026,Parquet,RAW_IMMUTABLE / NON-CANONICAL,DATA,dataset/year + provider row identity,raw immutable,provider/year/hash,RAW provenance truth only; PRICE-CANONICAL later,COPY_AS_IS,N,Y,price schema/manifest,byte hash + provider/year,A1/A2/A3,R3,hash/schema audit before canonicalization,P1,RAW_IMMUTABLE ≠ PRICE-CANONICAL.
MIG-015,INV-015,NOT_DECLARED,v1.1,TECHNOLOGY-BASELINE; SOURCE-REGISTRY,Narrative technology baseline,Markdown + raw DOCX archive,CANONICAL BASELINE,BOTH,baseline_id/version,immutable baseline versions,baseline version,TECHNOLOGY-BASELINE,FORMAT_CONVERSION,N,N,source registry,citations/source references retained,A1/A2,representative section parity,none for raw/archive; extraction optional,P2,Narrative preservation; over-structuring deferred.
MIG-016,INV-016,NOT_DECLARED,v1.0,TECHNOLOGY-BASELINE; SOURCE-REGISTRY,System/memory baseline,Markdown + raw DOCX archive,CANONICAL BASELINE,BOTH,baseline_id/version,immutable baseline versions,baseline version,TECHNOLOGY-BASELINE,FORMAT_CONVERSION,N,N,source registry,citations/source references retained,A1/A2,representative section parity,none for raw/archive; extraction optional,P2,Narrative preservation; glossary/matrix extraction later.
MIG-017,INV-017,NOT_DECLARED,v1.0,CAPEX-BASELINE; SOURCE-REGISTRY,CAPEX timing baseline,Markdown + raw DOCX archive,CANONICAL BASELINE,BOTH,baseline_id/version,immutable baseline versions,baseline version,CAPEX-BASELINE,FORMAT_CONVERSION,N,N,source registry,citations/source references retained,A1/A2,representative section parity,none for raw/archive; extraction optional,P2,Stable timing tables may be structured later.
MIG-018,INV-018,NOT_DECLARED,v0,CAPEX-BASELINE; SOURCE-REGISTRY,SKH working scenario baseline,Markdown + raw DOCX archive,CANONICAL BASELINE,BOTH,baseline_id/version,immutable baseline versions,baseline version,CAPEX-BASELINE / working baseline,FORMAT_CONVERSION,N,N,source registry,citations/source references retained,A1/A2,representative section parity,none for raw/archive; extraction optional,P2,Scenario assumptions remain tagged; aggressive structuring deferred.
MIG-019,INV-019,NOT_DECLARED,v2.2 Detail,legacy SOURCE-REGISTRY; MODEL-DEFINITION; historical MODEL-SCORE DEFERRED,Preserve v2.2 rule/results,raw DOCX + later structured model/score,CANONICAL / DEFERRED,BOTH,model_version; eventual model_score_id,model definition immutable; scores append-only only after valid PIT binding,legacy model version + later score revision,MODEL-DEFINITION / later MODEL-SCORE,STRUCTURAL_SPLIT / DEFERRED score promotion,Y,N,PIT-SNAPSHOT; model schema,each score→legacy scorecard row,A1/A2/A3,R2,no valid new MODEL-SCORE without PIT-SNAPSHOT binding,P1,TOP38 score deferred policy unchanged.
