"company_no","supplied_name","canonical_name","KRX_code","group","company_id","working_membership_source","seed_supply_axis","company_id_binding_status","identity_status","entity_resolution_status","F1_status","listing_history_status","tradability_history_status","business_priority_history_status","price_coverage_status","bp_ready_windows","bp_partial_windows","bp_unresolved_windows","listing_ready_windows","listing_unresolved_windows","outer_universe_provenance_status","authoritative_freeze_status"
29,"두산테스나","두산테스나","131970","U46","KRX:131970","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
30,"케이엔제이","케이엔제이","272110","U46","KRX:272110","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
31,"브이엠","브이엠","089970","U46","KRX:089970","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
32,"FST","FST","036810","U46","KRX:036810","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
33,"씨앤지하이테크","씨앤지하이테크","264660","U46","KRX:264660","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
34,"네오셈","네오셈","253590","U46","KRX:253590","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
35,"유니테스트","유니테스트","086390","U46","KRX:086390","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
36,"넥스틴","넥스틴","348210","U46","KRX:348210","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
37,"디엔에프","디엔에프","092070","U46","KRX:092070","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
38,"주성엔지니어링","주성엔지니어링","036930","U46","KRX:036930","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
39,"저스템","저스템","417840","U46","KRX:417840","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
40,"디아이","디아이","003160","U46","KRX:003160","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
41,"미래산업","미래산업","025560","U46","KRX:025560","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
42,"제너셈","제너셈","217190","U46","KRX:217190","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
43,"와이씨","와이씨","232140","U46","KRX:232140","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
44,"오킨스전자","오킨스전자","080580","U46","KRX:080580","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
45,"티에스이","티에스이","131290","U46","KRX:131290","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
46,"와이씨켐","와이씨켐","112290","U46","KRX:112290","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
47,"테스","테스","095610","U81","KRX:095610","U127_v0.8 U81_F1","전공정 장비","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
48,"티이엠씨","티이엠씨","425040","U81","KRX:425040","U127_v0.8 U81_F1","특수가스/소재","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
49,"삼양엔씨켐","삼양엔씨켐","482630","U81","KRX:482630","U127_v0.8 U81_F1","반도체 화학소재","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",3,0,5,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
50,"아스플로","아스플로","159010","U81","KRX:159010","U127_v0.8 U81_F1","가스계 부품","READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
51,"심텍","심텍","222800","U81","KRX:222800","U127_v0.8 U81_F1","패키지기판/PCB","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
52,"RF머트리얼즈","RF머트리얼즈","327260","U81","KRX:327260","U127_v0.8 U81_F1","화합물반도체 패키지","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
53,"라온로보틱스 (구 라온테크)","라온로보틱스","232680","U81","KRX:232680","U127_v0.8 U81_F1","웨이퍼 이송/자동화","READY","PARTIAL","READY","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
54,"코세스","코세스","089890","U81","KRX:089890","U127_v0.8 U81_F1","후공정/패키징 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
55,"타이거일렉","타이거일렉","219130","U81","KRX:219130","U127_v0.8 U81_F1","테스트 PCB/기판","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
56,"해성디에스","해성디에스","195870","U81","KRX:195870","U127_v0.8 U81_F1","리드프레임/패키지기판","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
57,"네패스아크","네패스아크","330860","U81","KRX:330860","U127_v0.8 U81_F1","반도체 테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
58,"메가터치","메가터치","446540","U81","KRX:446540","U127_v0.8 U81_F1","테스트 핀","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
59,"엘케이켐","엘케이켐","489500","U81","KRX:489500","U127_v0.8 U81_F1","Precursor 소재","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",5,0,3,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
60,"러셀","러셀","217500","U81","KRX:217500","U127_v0.8 U81_F1","반도체 장비/리퍼비시","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
61,"레이저쎌","레이저쎌","412350","U81","KRX:412350","U127_v0.8 U81_F1","첨단패키징 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
62,"쎄크","쎄크","081180","U81","KRX:081180","U127_v0.8 U81_F1","반도체 X-ray 검사","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
63,"다원넥스뷰","다원넥스뷰","323350","U81","KRX:323350","U127_v0.8 U81_F1","레이저 접합/테스트 장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
64,"코스텍시스","코스텍시스","355150","U81","KRX:355150","U127_v0.8 U81_F1","전력반도체 패키지/방열","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
65,"엠케이전자","엠케이전자","033160","U81","KRX:033160","U127_v0.8 U81_F1","본딩와이어/솔더볼","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
66,"지앤비에스 에코","지앤비에스 에코","382800","U81","KRX:382800","U127_v0.8 U81_F1","스크러버/Fab Utility","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
67,"인텍플러스","인텍플러스","064290","U81","KRX:064290","U127_v0.8 U81_F1","반도체 검사장비","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
68,"대덕전자","대덕전자","353200","U81","KRX:353200","U127_v0.8 U81_F1","패키지기판/PCB","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
69,"코리아써키트","코리아써키트","007810","U81","KRX:007810","U127_v0.8 U81_F1","패키지기판/PCB","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
70,"하나마이크론","하나마이크론","067310","U81","KRX:067310","U127_v0.8 U81_F1","OSAT/패키징·테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
71,"네패스","네패스","033640","U81","KRX:033640","U127_v0.8 U81_F1","패키징/OSAT","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
72,"SFA반도체","SFA반도체","036540","U81","KRX:036540","U127_v0.8 U81_F1","OSAT/패키징·테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
73,"LB세미콘","LB세미콘","061970","U81","KRX:061970","U127_v0.8 U81_F1","반도체 테스트/OSAT","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
74,"에이팩트","에이팩트","200470","U81","KRX:200470","U127_v0.8 U81_F1","반도체 테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
75,"윈팩","윈팩","097800","U81","KRX:097800","U127_v0.8 U81_F1","OSAT/테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,1,7,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
76,"시그네틱스","시그네틱스","033170","U81","KRX:033170","U127_v0.8 U81_F1","OSAT/패키징","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
77,"에이엘티","에이엘티","172670","U81","KRX:172670","U127_v0.8 U81_F1","반도체 테스트","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
78,"큐알티","큐알티","405100","U81","KRX:405100","U127_v0.8 U81_F1","신뢰성 평가/분석","READY","PARTIAL","PARTIAL","NEEDS_RESEARCH","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",0,0,8,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
79,"피엠티","피엠티","147760","U81","KRX:147760","U127_v0.8 U81_F1","Probe Card","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
80,"마이크로투나노","마이크로투나노","424980","U81","KRX:424980","U127_v0.8 U81_F1","MEMS Probe Card","READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","PARTIAL","READY",0,1,7,0,8,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
