test_id,priority,area,current_target,current_exposure_at_head,required_assertion,expected_exit,target_test_file,patch_target,current_lock_state
KF-INT-001,P0,JSONL integrity,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"Malformed JSON raises unclassified exception after output directory creation","BLOCKED_INPUT_INTEGRITY; zero scorer calls/writes",3,tools/m3top3/tests/test_known_failures_integrity.py,tools/m3top3/admission.py|tools/m3top3/backtest.py,RED_SPECIFIED_NOT_RUN
KF-INT-002,P0,JSONL hash,tools/m3top3/snapshot.py:SnapshotStore.valid_existing,"model_input bytes are not rehashed","MODEL_INPUT_FILE_HASH_MISMATCH",3,tools/m3top3/tests/test_known_failures_integrity.py,tools/m3top3/snapshot.py|tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-INT-003,P0,JSONL hash,tools/m3top3/snapshot.py:SnapshotStore.valid_existing,"PIT bytes are not rehashed","PIT_FILE_HASH_MISMATCH",3,tools/m3top3/tests/test_known_failures_integrity.py,tools/m3top3/snapshot.py|tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-INT-004,P0,Row-count integrity,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"declared row counts are not checked","ROW_COUNT_MISMATCH",3,tools/m3top3/tests/test_known_failures_integrity.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-INT-005,P0,Semantic integrity,tools/m3top3/snapshot.py:SnapshotStore.valid_existing,"snapshot_content_hash is trusted from manifest","SNAPSHOT_CONTENT_HASH_MISMATCH",3,tools/m3top3/tests/test_known_failures_integrity.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-PRC-001,P0,Price hash,tools/m3top3/providers.py:CsvPriceProvider+DuckDBParquetPriceProvider.__init__,"dataset_hash is accepted without hashing component bytes","PRICE_COMPONENT_HASH_MISMATCH before query",3,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/providers.py|tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-PRC-002,P0,Canonical admission,tools/m3top3/providers.py:price provider constructors,"semantics string alone can assert PRICE_CANONICAL","PRICE_CANONICAL_ADMISSION_DENIED",4,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-PRC-003,P0,Duplicate price key,tools/m3top3/providers.py:CsvPriceProvider._by_key+DuckDBParquetPriceProvider.row,"CSV silently last-wins; DuckDB uses LIMIT 1","DUPLICATE_PRICE_KEY with row locator",3,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/providers.py,RED_SPECIFIED_NOT_RUN
KF-PRC-004,P0,OHLC integrity,tools/m3top3/providers.py:price provider constructors,"no OHLC invariant validation","INVALID_OHLC",3,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/providers.py,RED_SPECIFIED_NOT_RUN
KF-PRC-005,P0,CA integrity,tools/m3top3/providers.py:PriceRow+provider constructors,"CA flag/factor fields are not validated and parquet adapter does not load them","CA_EVIDENCE_INCOMPLETE or INVALID_ADJUSTMENT_FACTOR",3,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/providers.py|tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-PRC-006,P0,Canonical CA completeness,tools/m3top3/outcome.py:OutcomeBuilder.build,"PRICE_CANONICAL directly yields VALIDATION/VALID without release-level CA gate","PRICE_CANONICAL_CA_INCOMPLETE; no VALIDATION output",4,tools/m3top3/tests/test_known_failures_price.py,tools/m3top3/admission.py|tools/m3top3/outcome.py,RED_SPECIFIED_NOT_RUN
KF-IMM-001,P0,Immutable reuse,tools/m3top3/snapshot.py:SnapshotStore.valid_existing,"reuse uses only declared semantic hash","identical actual bytes reused without modification",0,tools/m3top3/tests/test_known_failures_immutability.py,tools/m3top3/snapshot.py|tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-IMM-002,P0,Snapshot overwrite,tools/m3top3/snapshot.py:SnapshotStore.write,"fixed date files are overwritten","immutable collision; prior bytes unchanged",3,tools/m3top3/tests/test_known_failures_immutability.py,tools/m3top3/snapshot.py,RED_SPECIFIED_NOT_RUN
KF-IMM-003,P0,Nondeterministic rerun,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"fixed date result JSON is overwritten","NONDETERMINISTIC_RERUN; first result unchanged",3,tools/m3top3/tests/test_known_failures_immutability.py,tools/m3top3/backtest.py|tools/m3top3/ledger.py,RED_SPECIFIED_NOT_RUN
KF-IMM-004,P0,Result reuse,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"no verified result-reuse contract","same run ID plus identical bytes returns REUSED",0,tools/m3top3/tests/test_known_failures_immutability.py,tools/m3top3/backtest.py|tools/m3top3/ledger.py,RED_SPECIFIED_NOT_RUN
KF-CLI-001,P0,Backtest exit,tools/m3top3/cli_run_backtest.py:main,"blocked count is printed but return is always zero","exit 2 for any blocked result",2,tools/m3top3/tests/test_known_failures_cli.py,tools/m3top3/cli_run_backtest.py,RED_SPECIFIED_NOT_RUN
KF-CLI-002,P0,Snapshot exit,tools/m3top3/cli_build_snapshots.py:main,"PARTIAL is counted as generated so exit can be zero","exit 2; partial/blocked not generated",2,tools/m3top3/tests/test_known_failures_cli.py,tools/m3top3/snapshot.py|tools/m3top3/cli_build_snapshots.py,RED_SPECIFIED_NOT_RUN
KF-CLI-003,P0,Integrity exit,tools/m3top3/cli_run_backtest.py:main+cli_build_snapshots.py:main,"no classified integrity exit contract","exit 3 with stable code",3,tools/m3top3/tests/test_known_failures_cli.py,tools/m3top3/cli_run_backtest.py|tools/m3top3/cli_build_snapshots.py,RED_SPECIFIED_NOT_RUN
KF-MOD-001,P0,Scorer admission,tools/m3top3/model_interface.py:load_scorer,"raw dynamic import; no preflight or stable authority error","official admission denied; exit 4 before data read",4,tools/m3top3/tests/test_known_failures_model_admission.py,tools/m3top3/admission.py|tools/m3top3/cli_run_backtest.py,RED_SPECIFIED_NOT_RUN
KF-MOD-002,P0,Scorer admission,tools/m3top3/model_interface.py:DiagnosticFixtureScorer,"diagnostic scorer can be dynamically selected","OFFICIAL_SCORER_ADMISSION_DENIED",4,tools/m3top3/tests/test_known_failures_model_admission.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-MOD-003,P0,Official identity,tools/m3top3/model_interface.py:ModelScorer+load_scorer,"metadata attributes are not verified against a release receipt","missing artifact/config/baseline/authority receipt blocks",4,tools/m3top3/tests/test_known_failures_model_admission.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-MOD-004,P0,Config hash,tools/m3top3/model_interface.py:load_scorer,"scorer config_hash is never matched to actual canonical config bytes","SCORER_CONFIG_HASH_MISMATCH",4,tools/m3top3/tests/test_known_failures_model_admission.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
KF-MOD-005,P0,Placeholder config,tools/m3top3/configs/backtest.example.json+snapshot.example.json,"working/unresolved/example values have no official-mode prohibition","PLACEHOLDER_CONFIG_NOT_ADMISSIBLE",4,tools/m3top3/tests/test_known_failures_model_admission.py,tools/m3top3/admission.py|tools/m3top3/cli_run_backtest.py,RED_SPECIFIED_NOT_RUN
